epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.2037,1.42222,2.93893,1.46867,0.39686,0.70714,0.53881,0.28397,1.18597,2.13159,1.31413,0.000414046,0.000414046,0.000414046
2,95.8939,1.30619,2.09499,1.32508,0.70654,0.79168,0.79946,0.37272,1.17067,2.14505,1.30231,0.000814265,0.000814265,0.000814265
3,142.256,1.32099,1.84468,1.33225,0.45305,0.78663,0.68542,0.36018,0.97953,2.25527,1.15732,0.00119798,0.00119798,0.00119798
4,188.646,1.27262,1.70512,1.297,0.63619,0.77321,0.78325,0.4257,1.13237,1.84532,1.26931,0.00117575,0.00117575,0.00117575
5,235.679,1.22223,1.65661,1.26138,0.56457,0.92857,0.70853,0.44241,1.03938,1.52344,1.21366,0.001151,0.001151,0.001151
6,282.633,1.21257,1.58027,1.24741,0.53765,0.90182,0.77389,0.49557,1.0819,1.4148,1.22789,0.00112625,0.00112625,0.00112625
7,329.376,1.18249,1.47477,1.23686,0.58483,0.97499,0.77973,0.49387,0.97343,1.44553,1.15569,0.0011015,0.0011015,0.0011015
8,376.111,1.1645,1.42243,1.22333,0.66996,0.77559,0.77456,0.46544,0.98933,1.36224,1.17363,0.00107675,0.00107675,0.00107675
9,422.663,1.10683,1.36066,1.19125,0.73071,0.85327,0.82027,0.51984,1.03324,1.33921,1.18084,0.001052,0.001052,0.001052
10,469.949,1.11608,1.34876,1.20198,0.63468,0.80833,0.78232,0.45599,0.9422,1.28709,1.12843,0.00102725,0.00102725,0.00102725
11,516.663,1.14236,1.30369,1.21194,0.77461,0.76726,0.80647,0.50156,0.91792,1.17832,1.12614,0.0010025,0.0010025,0.0010025
12,563.137,1.09763,1.29276,1.19375,0.67668,0.89042,0.75773,0.47002,0.92379,1.17378,1.10703,0.00097775,0.00097775,0.00097775
13,610.275,1.06474,1.22664,1.16394,0.61676,0.91349,0.76204,0.49575,0.88579,1.15704,1.10089,0.000953,0.000953,0.000953
14,657.395,1.05586,1.21278,1.16151,0.67856,0.85598,0.76312,0.51895,0.98924,1.10319,1.16633,0.00092825,0.00092825,0.00092825
15,703.458,1.04558,1.2062,1.16996,0.59951,0.9625,0.77332,0.5137,0.91958,1.12353,1.13277,0.0009035,0.0009035,0.0009035
16,750.676,1.01825,1.22074,1.14445,0.69096,0.75555,0.80878,0.53422,0.94145,1.083,1.12769,0.00087875,0.00087875,0.00087875
17,797.605,1.05048,1.17303,1.14723,0.70782,0.90053,0.8569,0.55931,0.91229,1.06079,1.11259,0.000854,0.000854,0.000854
18,844.907,0.97495,1.09575,1.12557,0.73323,0.78274,0.76849,0.49921,0.85807,1.05861,1.07823,0.00082925,0.00082925,0.00082925
19,891.583,1.01335,1.10221,1.13919,0.64273,0.79702,0.71629,0.46746,0.92118,1.0985,1.13024,0.0008045,0.0008045,0.0008045
20,938.089,0.97686,1.09784,1.12989,0.49529,0.99105,0.67986,0.45001,0.92216,1.06573,1.12745,0.00077975,0.00077975,0.00077975
21,985.12,0.96004,1.09007,1.10906,0.66832,0.76071,0.74669,0.48705,0.9201,1.11198,1.13769,0.000755,0.000755,0.000755
22,1032.22,0.93884,1.07996,1.11226,0.52176,0.91535,0.73532,0.46945,0.90631,1.08617,1.1254,0.00073025,0.00073025,0.00073025
23,1078.98,0.95424,1.07142,1.11627,0.67617,0.93685,0.72569,0.47462,0.88892,1.07458,1.10984,0.0007055,0.0007055,0.0007055
24,1125.47,0.94573,1.0484,1.11373,0.5305,0.91667,0.69619,0.46814,0.93051,1.01166,1.1314,0.00068075,0.00068075,0.00068075
25,1173.17,0.94679,1.05109,1.11114,0.66755,0.8373,0.7847,0.48578,0.89149,0.98533,1.08629,0.000656,0.000656,0.000656
26,1218.66,0.91005,1.04538,1.10113,0.49465,0.99852,0.69696,0.45994,0.92862,1.02009,1.122,0.00063125,0.00063125,0.00063125
27,1264.01,0.90169,1.01656,1.10019,0.61579,0.78741,0.72148,0.49181,0.90408,1.00693,1.11155,0.0006065,0.0006065,0.0006065
28,1310.62,0.89927,1.01682,1.07928,0.49136,1,0.78244,0.50356,0.94746,1.01058,1.12591,0.00058175,0.00058175,0.00058175
29,1362.03,0.91149,1.03262,1.09214,0.65376,0.90335,0.73935,0.52378,0.91698,0.98139,1.12159,0.000557,0.000557,0.000557
30,1412.3,0.87136,1.00697,1.0716,0.57407,0.8875,0.71963,0.46129,0.90887,0.97437,1.11475,0.00053225,0.00053225,0.00053225
31,1465.23,0.88002,1.00478,1.08345,0.73131,0.80605,0.78734,0.49518,0.91688,0.97542,1.12834,0.0005075,0.0005075,0.0005075
32,1521.47,0.9104,0.98128,1.09722,0.67114,0.76593,0.73201,0.5089,0.93415,0.93569,1.12697,0.00048275,0.00048275,0.00048275
