epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8576,1.03659,2.99827,1.15829,0.01,1,0.4375,0.35369,0.85137,2.91718,0.91488,0.000325,0.000325,0.000325
2,27.3619,0.98563,1.58617,1.05461,0.971,0.25,0.67313,0.52583,0.85765,1.89168,0.98315,0.000649382,0.000649382,0.000649382
3,39.624,0.93851,1.30135,1.05825,0.74912,0.99534,0.995,0.77052,0.83668,0.88143,0.9251,0.0009604,0.0009604,0.0009604
4,52.5554,0.91366,1.11921,1.03279,0.85835,0.98129,0.995,0.77995,0.86684,1.20862,0.9643,0.00117575,0.00117575,0.00117575
5,64.9778,0.88416,1.0034,1.02984,0.83728,0.98923,0.995,0.74879,0.73617,1.00365,0.90866,0.001151,0.001151,0.001151
6,77.6754,0.84119,0.88702,1.01774,0.80321,0.96771,0.995,0.84008,0.7397,0.98488,0.93306,0.00112625,0.00112625,0.00112625
7,92.0407,0.85285,0.87087,1.01746,0.97028,1,0.995,0.8489,0.66665,0.69253,0.88923,0.0011015,0.0011015,0.0011015
8,106.144,0.79967,0.81191,0.98229,0.9708,1,0.995,0.80822,0.76777,0.75523,0.93957,0.00107675,0.00107675,0.00107675
9,120.08,0.81036,0.77712,1.01988,0.94135,1,0.995,0.81616,0.75315,0.74254,0.93706,0.001052,0.001052,0.001052
10,133.271,0.83561,0.76129,1.01279,0.97054,1,0.995,0.82161,0.76028,0.75542,0.94277,0.00102725,0.00102725,0.00102725
11,149.019,0.80839,0.7522,1.00532,0.96172,1,0.995,0.81543,0.68586,0.7288,0.93788,0.0010025,0.0010025,0.0010025
12,165.575,0.80651,0.71867,1.01811,0.97365,1,0.995,0.8369,0.7164,0.72858,0.93884,0.00097775,0.00097775,0.00097775
13,182.672,0.74423,0.66144,0.98173,0.97588,1,0.995,0.82812,0.67799,0.71059,0.94987,0.000953,0.000953,0.000953
14,199.33,0.74978,0.66212,0.99719,0.96716,1,0.995,0.84016,0.61573,0.7158,0.90507,0.00092825,0.00092825,0.00092825
15,216.436,0.73309,0.62523,0.97953,0.97677,1,0.995,0.81716,0.6961,0.60987,0.92602,0.0009035,0.0009035,0.0009035
16,231.852,0.71502,0.60303,0.97525,0.95259,1,0.995,0.83334,0.65873,0.66134,0.92549,0.00087875,0.00087875,0.00087875
17,245.4,0.71062,0.6093,0.96251,0.98642,1,0.995,0.79437,0.72791,0.58982,0.97049,0.000854,0.000854,0.000854
18,258.498,0.71089,0.58506,0.97731,0.95503,1,0.995,0.83251,0.71541,0.66689,0.9436,0.00082925,0.00082925,0.00082925
19,271.972,0.70014,0.58564,0.98943,0.95585,0.99156,0.995,0.83462,0.75351,0.72141,0.98607,0.0008045,0.0008045,0.0008045
20,285.708,0.66364,0.55495,0.96738,0.97999,1,0.995,0.85143,0.66207,0.59843,0.9348,0.00077975,0.00077975,0.00077975
21,298.874,0.69052,0.55959,0.98342,0.96673,0.99437,0.995,0.80786,0.73594,0.6249,0.98885,0.000755,0.000755,0.000755
22,312.7,0.68686,0.56668,0.96884,0.97809,1,0.995,0.81151,0.71063,0.53349,0.97221,0.00073025,0.00073025,0.00073025
23,325.301,0.65363,0.53276,0.96239,0.9845,1,0.995,0.83042,0.74385,0.55922,0.97349,0.0007055,0.0007055,0.0007055
24,338.106,0.69467,0.54688,0.9683,0.97983,1,0.995,0.83518,0.66771,0.59159,0.92742,0.00068075,0.00068075,0.00068075
25,351.341,0.67052,0.51944,0.97679,0.98059,1,0.995,0.81852,0.74913,0.51769,0.99114,0.000656,0.000656,0.000656
26,364.12,0.64481,0.51135,0.96128,0.98178,1,0.995,0.80503,0.75004,0.54083,0.999,0.00063125,0.00063125,0.00063125
27,377.439,0.6513,0.50938,0.96439,0.97867,1,0.995,0.83527,0.6827,0.56019,0.9443,0.0006065,0.0006065,0.0006065
28,390.634,0.62232,0.49204,0.97113,0.97262,1,0.995,0.81242,0.69931,0.5177,0.99137,0.00058175,0.00058175,0.00058175
