epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3687,1.47151,3.36191,1.448,0.01084,1,0.3406,0.15952,1.30813,3.20366,1.27288,0.000408163,0.000408163,0.000408163
2,29.4474,1.29647,2.28908,1.25176,0.48481,0.60595,0.53184,0.32255,1.49364,2.11051,1.40529,0.000808498,0.000808498,0.000808498
3,43.4346,1.21099,1.97125,1.22646,0.40674,0.61338,0.52288,0.3368,1.42107,2.03455,1.38715,0.00119233,0.00119233,0.00119233
4,57.3336,1.23484,1.85275,1.26664,0.61037,0.78022,0.81169,0.55178,1.13886,2.35866,1.32409,0.00117575,0.00117575,0.00117575
5,71.3772,1.26269,1.68674,1.24836,0.89462,0.80937,0.93005,0.62138,1.32397,1.49782,1.34012,0.001151,0.001151,0.001151
6,85.327,1.142,1.58373,1.20025,0.57674,0.93375,0.8225,0.62517,1.11135,1.57106,1.39292,0.00112625,0.00112625,0.00112625
7,99.4567,1.10062,1.4327,1.19493,0.67891,0.89349,0.89964,0.60086,1.14982,1.39614,1.27225,0.0011015,0.0011015,0.0011015
8,113.726,1.08675,1.36978,1.17487,0.50292,0.83255,0.7858,0.57002,1.11758,1.65216,1.21995,0.00107675,0.00107675,0.00107675
9,127.846,1.07014,1.2774,1.17464,0.77262,0.96217,0.91824,0.61368,1.24796,2.14431,1.37438,0.001052,0.001052,0.001052
10,141.58,1.03028,1.19874,1.13398,0.90731,0.93371,0.995,0.66457,1.18187,1.33302,1.29074,0.00102725,0.00102725,0.00102725
11,155.635,1.04599,1.13216,1.15218,0.97815,0.99674,0.995,0.6869,1.18101,1.21569,1.3776,0.0010025,0.0010025,0.0010025
12,169.484,1.00153,1.13031,1.15647,0.93279,0.969,0.995,0.75234,0.9578,1.09442,1.20742,0.00097775,0.00097775,0.00097775
13,182.962,0.96071,1.03503,1.12691,0.91742,0.9562,0.995,0.71264,1.09374,1.31103,1.28481,0.000953,0.000953,0.000953
14,197.927,1.00282,1.06643,1.14761,0.9366,0.91318,0.95148,0.71743,1.0477,1.45301,1.1973,0.00092825,0.00092825,0.00092825
15,213.26,0.99293,1.04405,1.13775,0.969,0.93477,0.995,0.72149,1.01675,1.20111,1.22817,0.0009035,0.0009035,0.0009035
