epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.228,1.45704,3.35826,1.44119,0.00831,1,0.4542,0.25418,1.4022,3.00553,1.49189,0.000407609,0.000407609,0.000407609
2,27.7415,1.34066,2.33707,1.2955,0.20723,0.61054,0.46957,0.29957,1.54332,4.47053,1.51788,0.000807955,0.000807955,0.000807955
3,40.8729,1.25183,1.98804,1.27824,0.38401,0.83333,0.53457,0.3645,1.33513,1.95226,1.2068,0.0011918,0.0011918,0.0011918
4,54.2675,1.2236,1.85169,1.24873,0.36582,0.91667,0.59655,0.37246,1.29058,2.64901,1.29266,0.00117575,0.00117575,0.00117575
5,67.5777,1.17784,1.70496,1.21726,0.83436,0.73638,0.7948,0.61358,1.12775,1.96715,1.15724,0.001151,0.001151,0.001151
6,80.9776,1.11455,1.63522,1.19166,0.87377,0.67843,0.8188,0.59806,1.19464,1.87632,1.23814,0.00112625,0.00112625,0.00112625
7,94.2178,1.15216,1.49429,1.23332,0.78614,0.87956,0.8472,0.63289,1.07774,1.65075,1.31742,0.0011015,0.0011015,0.0011015
8,107.534,1.09009,1.36571,1.19091,0.88728,0.89847,0.94214,0.68958,1.00938,1.21957,1.17982,0.00107675,0.00107675,0.00107675
9,120.774,1.0117,1.26149,1.14662,0.87118,0.91667,0.95629,0.71374,1.02284,1.10409,1.14007,0.001052,0.001052,0.001052
10,134.036,1.02838,1.14109,1.13824,0.87498,0.91667,0.94786,0.68635,1.08441,1.34427,1.17402,0.00102725,0.00102725,0.00102725
11,147.323,1.03101,1.17676,1.15389,0.89738,0.91667,0.962,0.70434,0.98596,1.49802,1.12459,0.0010025,0.0010025,0.0010025
12,160.534,0.99158,1.10493,1.12399,0.97568,0.96756,0.995,0.72689,1.09883,1.06139,1.13268,0.00097775,0.00097775,0.00097775
13,173.977,0.99864,0.98989,1.12046,0.97763,0.749,0.86533,0.62026,0.98981,1.49556,1.18398,0.000953,0.000953,0.000953
14,187.261,1.01911,1.06489,1.14904,0.95892,0.91667,0.97438,0.73054,0.94132,0.99609,1.16777,0.00092825,0.00092825,0.00092825
15,200.667,0.94613,0.94555,1.10304,0.97746,0.95415,0.995,0.73263,0.9151,0.9632,1.1178,0.0009035,0.0009035,0.0009035
16,214.697,0.98571,0.94521,1.11426,0.92393,0.99085,0.995,0.7512,0.98351,1.00067,1.18427,0.00087875,0.00087875,0.00087875
17,228.139,0.96691,0.9057,1.10267,0.9101,0.9912,0.995,0.74797,0.89315,1.01879,1.1533,0.000854,0.000854,0.000854
18,241.851,0.95839,0.90367,1.12032,0.93433,0.99159,0.995,0.78718,0.8949,0.9475,1.12768,0.00082925,0.00082925,0.00082925
19,255.169,0.93307,0.88358,1.10887,0.98465,0.93496,0.995,0.72924,0.99898,0.86425,1.19928,0.0008045,0.0008045,0.0008045
20,269.019,0.93857,0.88018,1.1221,0.97241,0.97687,0.995,0.74614,1.01966,0.88197,1.19083,0.00077975,0.00077975,0.00077975
21,282.858,0.90519,0.83289,1.08829,0.97562,0.99405,0.995,0.73255,1.01251,0.81038,1.13382,0.000755,0.000755,0.000755
22,296.424,0.96026,0.89064,1.12491,0.95405,0.99224,0.995,0.70172,1.12917,0.84534,1.17736,0.00073025,0.00073025,0.00073025
23,310.041,0.89509,0.84582,1.08264,0.95209,0.99302,0.995,0.71538,0.97037,0.77982,1.15535,0.0007055,0.0007055,0.0007055
24,323.664,0.88478,0.78088,1.09264,0.95835,0.94032,0.995,0.7456,0.86134,0.8183,1.09932,0.00068075,0.00068075,0.00068075
25,337.116,0.89731,0.80603,1.08518,0.97771,0.92212,0.995,0.73098,0.91877,0.86379,1.10497,0.000656,0.000656,0.000656
26,350.794,0.8939,0.79978,1.0899,0.96906,0.9525,0.995,0.75332,0.84688,0.78168,1.14582,0.00063125,0.00063125,0.00063125
27,364.297,0.86533,0.74453,1.068,0.9347,0.96016,0.99225,0.7592,0.91669,0.79407,1.18842,0.0006065,0.0006065,0.0006065
