epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.3721,1.37411,3.04149,1.4821,0.35172,0.52134,0.51462,0.23262,1.22647,2.39572,1.40215,0.000411111,0.000411111,0.000411111
2,73.5833,1.26839,2.09327,1.33673,0.34719,0.8875,0.61859,0.3128,1.28763,2.39046,1.36675,0.000811388,0.000811388,0.000811388
3,111.415,1.25989,1.88007,1.32249,0.58301,0.64885,0.65185,0.34202,1.15412,1.84914,1.29785,0.00119516,0.00119516,0.00119516
4,153.35,1.19989,1.67405,1.30832,0.68779,0.73313,0.75403,0.41899,0.96481,1.75707,1.13641,0.00117575,0.00117575,0.00117575
5,193.076,1.18083,1.60545,1.25419,0.52774,0.9209,0.82496,0.46484,1.00242,1.75243,1.19347,0.001151,0.001151,0.001151
6,230.979,1.1566,1.55967,1.25002,0.68241,0.84312,0.76828,0.46386,0.95413,1.52764,1.13763,0.00112625,0.00112625,0.00112625
7,271.942,1.15083,1.48545,1.25476,0.48618,0.9875,0.79398,0.43606,1.01083,1.39907,1.20086,0.0011015,0.0011015,0.0011015
8,309.38,1.12471,1.4106,1.22383,0.65964,0.86988,0.76865,0.48932,0.95575,1.28921,1.1543,0.00107675,0.00107675,0.00107675
9,343.355,1.07322,1.34541,1.18121,0.6717,0.80744,0.82507,0.57915,0.93135,1.23832,1.13805,0.001052,0.001052,0.001052
10,382.175,1.06538,1.36148,1.17977,0.49908,0.99912,0.69437,0.44683,0.93706,1.21656,1.12078,0.00102725,0.00102725,0.00102725
11,416.439,1.05064,1.31457,1.18135,0.49755,0.99989,0.70149,0.4272,0.97833,1.23165,1.14911,0.0010025,0.0010025,0.0010025
12,453.537,1.03746,1.26344,1.19172,0.59733,0.95417,0.7156,0.4662,0.89646,1.18901,1.11015,0.00097775,0.00097775,0.00097775
13,490.074,1.04169,1.2286,1.17636,0.6631,0.8625,0.77889,0.49815,0.9806,1.15382,1.17229,0.000953,0.000953,0.000953
14,530.075,1.00679,1.22493,1.15899,0.64236,0.80697,0.78079,0.51013,0.90538,1.13148,1.12071,0.00092825,0.00092825,0.00092825
15,568.934,0.98868,1.19685,1.1368,0.63824,0.90417,0.82295,0.52447,0.93929,1.14288,1.12948,0.0009035,0.0009035,0.0009035
16,607.332,0.98609,1.1594,1.15084,0.71946,0.86132,0.83876,0.52324,0.89416,1.11588,1.11651,0.00087875,0.00087875,0.00087875
17,642.673,0.97871,1.15794,1.14803,0.651,0.77849,0.80717,0.50401,0.9271,1.09668,1.10726,0.000854,0.000854,0.000854
18,676.876,0.96504,1.14202,1.12887,0.59794,0.84235,0.69154,0.40779,0.91169,1.10795,1.09553,0.00082925,0.00082925,0.00082925
19,710.724,0.97276,1.10911,1.12642,0.66404,0.80833,0.73096,0.46344,0.97467,1.05039,1.14155,0.0008045,0.0008045,0.0008045
20,744.611,0.9528,1.09796,1.11745,0.74036,0.79257,0.78214,0.49283,0.92478,1.13157,1.11988,0.00077975,0.00077975,0.00077975
21,778.711,0.96017,1.09079,1.12155,0.68238,0.85417,0.72117,0.45418,0.94141,1.0558,1.10839,0.000755,0.000755,0.000755
22,813.179,0.91623,1.09851,1.11313,0.75289,0.76594,0.7721,0.48245,0.94207,1.06711,1.09733,0.00073025,0.00073025,0.00073025
23,851.023,0.92835,1.07831,1.11675,0.66132,0.82083,0.7538,0.50501,0.90654,1.02343,1.12634,0.0007055,0.0007055,0.0007055
24,885.382,0.91841,1.06178,1.10986,0.7409,0.78333,0.77737,0.44862,0.89103,1.01261,1.10977,0.00068075,0.00068075,0.00068075
25,924.38,0.86885,1.05604,1.08826,0.61235,0.86688,0.68729,0.47635,0.93848,1.01679,1.12665,0.000656,0.000656,0.000656
26,966.548,0.89784,1.05427,1.10963,0.64933,0.77187,0.74412,0.47812,0.91019,1.05297,1.10593,0.00063125,0.00063125,0.00063125
27,1004.48,0.88383,1.04756,1.09992,0.61353,0.81177,0.72589,0.44825,0.96356,1.01934,1.16097,0.0006065,0.0006065,0.0006065
28,1041.67,0.88569,1.01264,1.09119,0.87795,0.88243,0.88903,0.48784,0.95666,1.09415,1.14775,0.00058175,0.00058175,0.00058175
29,1078.05,0.87022,1.01869,1.08201,0.60228,0.88172,0.73329,0.45917,0.89388,1.06486,1.10903,0.000557,0.000557,0.000557
30,1112.71,0.88765,1.0313,1.08841,0.63697,0.71239,0.73899,0.44723,0.95722,1.08519,1.15285,0.00053225,0.00053225,0.00053225
31,1146.48,0.86578,1.00156,1.08045,0.74842,0.77778,0.79251,0.48895,0.92798,0.99925,1.14625,0.0005075,0.0005075,0.0005075
32,1179.92,0.86988,1.00985,1.07712,0.66949,0.78149,0.73955,0.47502,0.9077,0.98811,1.13269,0.00048275,0.00048275,0.00048275
33,1213.1,0.82363,0.99011,1.06105,0.67261,0.71948,0.72215,0.47724,0.93778,0.96935,1.14356,0.000458,0.000458,0.000458
34,1246.66,0.83091,0.98602,1.06039,0.49452,1,0.7162,0.49023,0.93149,0.99582,1.13954,0.00043325,0.00043325,0.00043325
35,1280.39,0.80383,0.98629,1.04672,0.48035,1,0.6971,0.45645,0.95016,1.00581,1.13212,0.0004085,0.0004085,0.0004085
36,1314.88,0.81823,0.97341,1.07129,0.49298,1,0.72824,0.466,0.90027,1.02781,1.11678,0.00038375,0.00038375,0.00038375
37,1350.99,0.79824,0.97444,1.05661,0.49265,1,0.74324,0.46644,0.90321,1.01576,1.13054,0.000359,0.000359,0.000359
38,1387.54,0.8124,0.96302,1.05794,0.49268,0.9875,0.69013,0.43973,0.89068,0.98682,1.10775,0.00033425,0.00033425,0.00033425
39,1423.63,0.79653,0.96687,1.05226,0.48705,1,0.71441,0.45279,0.87484,0.99268,1.10871,0.0003095,0.0003095,0.0003095
40,1460.82,0.80109,0.96027,1.04759,0.48685,0.99297,0.67558,0.44476,0.88276,1.00814,1.09801,0.00028475,0.00028475,0.00028475
41,1497.15,0.70309,0.92115,1.00562,0.49618,0.99435,0.6564,0.44408,0.89447,0.99912,1.09863,0.00026,0.00026,0.00026
42,1533.59,0.68901,0.89169,0.98426,0.6542,0.66747,0.72641,0.43201,0.89636,1.0908,1.12328,0.00023525,0.00023525,0.00023525
